Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,5.875000,5.875000,5.875000,5.875000,1.872028,35389440000
2000-01-04,5.550000,5.550000,5.550000,5.550000,1.768468,28861440000
2000-01-05,5.494000,5.494000,5.494000,5.494000,1.750624,43033600000
2000-01-06,5.475000,5.475000,5.475000,5.475000,1.744570,34055680000
2000-01-07,5.500000,5.500000,5.500000,5.500000,1.752536,20912640000
2000-01-10,5.613000,5.613000,5.613000,5.613000,1.788543,19563520000
2000-01-11,5.475000,5.475000,5.475000,5.475000,1.744570,23987200000
2000-01-12,5.483000,5.483000,5.483000,5.483000,1.747119,23301120000
2000-01-13,5.325000,5.325000,5.325000,5.325000,1.696774,26383360000
2000-01-14,5.400000,5.400000,5.400000,5.400000,1.720672,16657920000
2000-01-17,5.338000,5.338000,5.338000,5.338000,1.700915,16573440000
2000-01-18,5.363000,5.363000,5.363000,5.363000,1.708883,17925120000
2000-01-19,5.325000,5.325000,5.325000,5.325000,1.696774,38883840000
2000-01-20,5.313000,5.313000,5.313000,5.313000,1.692950,26268160000
2000-01-21,5.200000,5.200000,5.200000,5.200000,1.656944,17512960000
2000-01-24,5.163000,5.163000,5.163000,5.163000,1.645154,18385920000
2000-01-25,5.163000,5.163000,5.163000,5.163000,1.645154,0
2000-01-26,5.225000,5.225000,5.225000,5.225000,1.664910,25917440000
2000-01-27,5.188000,5.188000,5.188000,5.188000,1.653120,38379520000
2000-01-28,5.188000,5.188000,5.188000,5.188000,1.653120,17894400000
2000-01-31,5.101000,5.101000,5.101000,5.101000,1.625398,32266240000
2000-02-01,5.200000,5.200000,5.200000,5.200000,1.656944,23672320000
2000-02-02,5.300000,5.300000,5.300000,5.300000,1.688807,14272000000
2000-02-03,5.450000,5.450000,5.450000,5.450000,1.736604,25950720000
2000-02-04,5.588000,5.588000,5.588000,5.588000,1.780576,21199360000
2000-02-07,5.625000,5.625000,5.625000,5.625000,1.792366,20613120000
2000-02-08,5.750000,5.750000,5.750000,5.750000,1.832197,31498240000
2000-02-09,5.625000,5.625000,5.625000,5.625000,1.792366,15600640000
2000-02-10,5.463000,5.463000,5.463000,5.463000,1.740747,18600960000
2000-02-11,5.288000,5.288000,5.288000,5.288000,1.684983,25297920000
2000-02-14,5.213000,5.213000,5.213000,5.213000,1.661085,10119680000
2000-02-15,5.313000,5.313000,5.313000,5.313000,1.692950,33546240000
2000-02-16,5.738000,5.738000,5.738000,5.738000,1.828373,73564160000
2000-02-17,5.688000,5.688000,5.688000,5.688000,1.812441,21411840000
2000-02-18,5.563000,5.563000,5.563000,5.563000,1.772611,22484480000
2000-02-21,5.550000,5.550000,5.550000,5.550000,1.768468,18700800000
2000-02-22,5.525000,5.525000,5.525000,5.525000,1.760503,22474240000
2000-02-23,5.563000,5.563000,5.563000,5.563000,1.772611,20334080000
2000-02-24,5.713000,5.713000,5.713000,5.713000,1.820407,32931840000
2000-02-25,5.863000,5.863000,5.863000,5.863000,1.868204,36958720000
2000-02-28,5.750000,5.750000,5.750000,5.750000,1.832197,11596800000
2000-02-29,5.775000,5.775000,5.775000,5.775000,1.840163,24322560000
2000-03-01,5.875000,5.875000,5.875000,5.875000,1.872028,23828480000
2000-03-02,5.838000,5.838000,5.838000,5.838000,1.860237,24053760000
2000-03-03,6.038000,6.038000,6.038000,6.038000,1.923966,13217280000
2000-03-06,6.038000,6.038000,6.038000,6.038000,1.923966,0
2000-03-07,6.038000,6.038000,6.038000,6.038000,1.923966,0
2000-03-08,6.181000,6.181000,6.181000,6.181000,1.969533,8337920000
2000-03-09,6.399000,6.399000,6.399000,6.399000,2.038996,21578240000
2000-03-10,6.213000,6.213000,6.213000,6.213000,1.979728,14763520000
2000-03-13,6.213000,6.213000,6.213000,6.213000,1.979728,0
2000-03-14,5.813000,5.813000,5.813000,5.813000,1.852272,28421120000
2000-03-15,5.888000,5.888000,5.888000,5.888000,1.876169,25216000000
2000-03-16,5.925000,5.925000,5.925000,5.925000,1.887959,23298560000
2000-03-17,5.863000,5.863000,5.863000,5.863000,1.868204,18447360000
2000-03-20,5.688000,5.688000,5.688000,5.688000,1.812441,16012800000
2000-03-21,5.800000,5.800000,5.800000,5.800000,1.848129,25492480000
2000-03-22,5.814000,5.814000,5.814000,5.814000,1.852591,25113600000
2000-03-23,5.813000,5.813000,5.813000,5.813000,1.852272,26447360000
2000-03-24,5.813000,5.813000,5.813000,5.813000,1.852272,15249920000
2000-03-27,6.250000,6.250000,6.250000,6.250000,1.991519,22727680000
2000-03-28,5.988000,5.988000,5.988000,5.988000,1.908034,16906240000
2000-03-29,5.963000,5.963000,5.963000,5.963000,1.900067,21788160000
2000-03-30,5.825000,5.825000,5.825000,5.825000,1.856095,16432640000
2000-03-31,5.900000,5.900000,5.900000,5.900000,1.879994,20659200000
2000-04-03,5.850000,5.850000,5.850000,5.850000,1.864061,18083840000
2000-04-04,5.819000,5.819000,5.819000,5.819000,1.854183,33208320000
2000-04-05,6.063000,6.063000,6.063000,6.063000,1.931933,40258560000
2000-04-06,6.150000,6.150000,6.150000,6.150000,1.959655,24975360000
2000-04-07,6.188000,6.188000,6.188000,6.188000,1.971762,19161600000
2000-04-10,6.050000,6.050000,6.050000,6.050000,1.927790,13194240000
2000-04-11,5.900000,5.900000,5.900000,5.900000,1.879994,21875200000
2000-04-12,6.037000,6.037000,6.037000,6.037000,1.923648,45626880000
2000-04-13,5.900000,5.900000,5.900000,5.900000,1.879994,40263680000
2000-04-14,5.900000,5.900000,5.900000,5.900000,1.879994,0
2000-04-17,5.250000,5.250000,5.250000,5.250000,1.672876,66396160000
2000-04-18,5.413000,5.413000,5.413000,5.413000,1.724814,50900480000
2000-04-19,5.088000,5.088000,5.088000,5.088000,1.621256,38799360000
2000-04-20,5.100000,5.100000,5.100000,5.100000,1.625080,17896960000
2000-04-21,5.100000,5.100000,5.100000,5.100000,1.625080,0
2000-04-24,5.000000,5.000000,5.000000,5.000000,1.593215,20638720000
2000-04-25,5.450000,5.450000,5.450000,5.450000,1.736604,38284800000
2000-04-26,5.369000,5.369000,5.369000,5.369000,1.710794,22627840000
2000-04-27,5.375000,5.375000,5.375000,5.375000,1.712706,43991040000
2000-04-28,5.376000,5.376000,5.376000,5.376000,1.713024,25940480000
2000-05-01,5.376000,5.376000,5.376000,5.376000,1.713024,0
2000-05-02,5.506000,5.506000,5.506000,5.506000,1.754448,19975680000
2000-05-03,5.488000,5.488000,5.488000,5.488000,1.748713,20416000000
2000-05-04,5.475000,5.475000,5.475000,5.475000,1.744570,21488640000
2000-05-05,5.488000,5.488000,5.488000,5.488000,1.748713,17635840000
2000-05-08,5.494000,5.494000,5.494000,5.494000,1.750624,17551360000
2000-05-09,5.499000,5.499000,5.499000,5.499000,1.752218,26621440000
2000-05-10,5.400000,5.400000,5.400000,5.400000,1.720672,26841600000
2000-05-11,5.312000,5.312000,5.312000,5.312000,1.692631,36037120000
2000-05-12,5.306000,5.306000,5.306000,5.306000,1.690720,26560000000
2000-05-15,5.400000,5.400000,5.400000,5.400000,1.720672,13186560000
2000-05-16,5.575000,5.575000,5.575000,5.575000,1.776435,27993600000
2000-05-17,5.513000,5.513000,5.513000,5.513000,1.756679,12966400000
2000-05-18,5.538000,5.538000,5.538000,5.538000,1.764645,23644160000
2000-05-19,5.413000,5.413000,5.413000,5.413000,1.724814,23654400000
2000-05-22,5.256000,5.256000,5.256000,5.256000,1.674787,20034560000
2000-05-23,5.325000,5.325000,5.325000,5.325000,1.696774,24501760000
2000-05-24,5.238000,5.238000,5.238000,5.238000,1.669052,38970880000
2000-05-25,5.313000,5.313000,5.313000,5.313000,1.692950,38474240000
2000-05-26,5.251000,5.251000,5.251000,5.251000,1.673194,26065920000
2000-05-29,5.300000,5.300000,5.300000,5.300000,1.688807,11112960000
2000-05-30,5.316000,5.316000,5.316000,5.316000,1.693905,23626240000
2000-05-31,5.238000,5.238000,5.238000,5.238000,1.669052,26045440000
2000-06-01,5.500000,5.500000,5.500000,5.500000,1.752536,27148800000
2000-06-02,5.813000,5.813000,5.813000,5.813000,1.852272,51576320000
2000-06-05,5.790000,5.790000,5.790000,5.790000,1.844943,22650880000
2000-06-06,5.790000,5.790000,5.790000,5.790000,1.844943,0
2000-06-07,6.244000,6.244000,6.244000,6.244000,1.989607,23697920000
2000-06-08,6.276000,6.276000,6.276000,6.276000,1.999803,28997120000
