Date,Open,High,Low,Close,Adj Close,Volume
2002-03-21,2.250000,2.250000,2.250000,2.250000,0.922996,0
2002-03-22,2.229167,2.229167,2.160833,2.179167,0.893939,44247600
2002-03-25,2.170833,2.187500,2.166667,2.179167,0.893939,7429200
2002-03-26,2.179167,2.237500,2.179167,2.236667,0.917527,4604400
2002-03-27,2.245833,2.312500,2.233333,2.270833,0.931543,13928400
2002-03-28,2.250000,2.283333,2.229167,2.282500,0.936329,6098400
2002-04-01,2.283333,2.290000,2.229167,2.270833,0.931543,2727600
2002-04-02,2.270833,2.290833,2.250000,2.250000,0.922996,4144800
2002-04-03,2.250000,2.254167,2.171667,2.216667,0.909322,8430000
2002-04-04,2.208333,2.266667,2.208333,2.266667,0.929833,2284800
2002-04-05,2.258333,2.329167,2.254167,2.309167,0.947268,5533200
2002-04-08,2.266667,2.304167,2.265000,2.300000,0.943507,4418400
2002-04-09,2.333333,2.333333,2.300000,2.325000,0.953763,2905200
2002-04-10,2.325000,2.360000,2.308333,2.359167,0.967779,3027600
2002-04-11,2.366667,2.366667,2.333333,2.352500,0.965044,5821200
2002-04-12,2.333333,2.366667,2.320833,2.358333,0.967437,5308800
2002-04-15,2.366667,2.370833,2.333333,2.341667,0.960600,2198400
2002-04-16,2.333333,2.375000,2.333333,2.371667,0.972907,3998400
2002-04-17,2.371667,2.371667,2.358333,2.360833,0.968462,3704400
2002-04-18,2.366667,2.366667,2.306667,2.320833,0.952053,3751200
2002-04-19,2.329167,2.329167,2.291667,2.300000,0.943507,3531600
2002-04-22,2.312500,2.370833,2.300000,2.358333,0.967437,8922000
2002-04-23,2.358333,2.358333,2.341667,2.346667,0.962651,12386400
2002-04-24,2.341667,2.364167,2.333333,2.333333,0.957181,6998400
2002-04-25,2.325000,2.325000,2.266667,2.279167,0.934961,3238800
2002-04-26,2.278333,2.278333,2.254167,2.270833,0.931543,7994400
2002-04-29,2.258333,2.283333,2.258333,2.270833,0.931543,3802800
2002-04-30,2.266667,2.282500,2.258333,2.274167,0.932910,4616400
2002-05-01,2.266667,2.312500,2.262500,2.312500,0.948635,5505600
2002-05-02,2.312500,2.312500,2.250000,2.250000,0.922996,7122000
2002-05-03,2.250000,2.275000,2.250000,2.250000,0.922996,5690400
2002-05-06,2.250000,2.308333,2.250000,2.291667,0.940089,4885200
2002-05-07,2.300000,2.300000,2.260833,2.264167,0.928807,10905600
2002-05-08,2.270833,2.308333,2.270833,2.300000,0.943507,3747600
2002-05-09,2.308333,2.323333,2.279167,2.279167,0.934961,2978400
2002-05-10,2.283333,2.304167,2.275000,2.304167,0.945216,6310800
2002-05-13,2.300000,2.316667,2.293333,2.316667,0.950344,844800
2002-05-14,2.301667,2.341667,2.291667,2.320833,0.952053,3202800
2002-05-15,2.300000,2.324167,2.288333,2.316667,0.950344,2846400
2002-05-16,2.316667,2.325000,2.293333,2.305000,0.945558,2947200
2002-05-17,2.308333,2.308333,2.291667,2.295833,0.941798,3913200
2002-05-20,2.283333,2.304167,2.266667,2.300833,0.943849,2151600
2002-05-21,2.308333,2.345833,2.304167,2.342500,0.960942,5212800
2002-05-22,2.342500,2.344167,2.333333,2.341667,0.960600,5890800
2002-05-23,2.332500,2.359167,2.325000,2.359167,0.967779,3151200
2002-05-24,2.359167,2.359167,2.341667,2.354167,0.965728,726000
2002-05-28,2.359167,2.395833,2.359167,2.395833,0.982820,4741200
2002-05-29,2.391667,2.533333,2.391667,2.499167,1.025209,12590400
2002-05-30,2.466667,2.470833,2.433333,2.458333,1.008459,6364800
2002-05-31,2.462500,2.512500,2.462500,2.500000,1.025552,4238400
2002-06-03,2.500000,2.525000,2.487500,2.500000,1.025552,2103600
2002-06-04,2.500000,2.500000,2.475833,2.480000,1.017347,6966000
2002-06-05,2.483333,2.487500,2.458333,2.479167,1.017005,1942800
2002-06-06,2.475000,2.475000,2.416667,2.418333,0.992050,26244000
2002-06-07,2.350000,2.445833,2.350000,2.430000,0.996836,7039200
2002-06-10,2.450833,2.450833,2.412500,2.418333,0.992050,1519200
2002-06-11,2.437500,2.445833,2.379167,2.385833,0.978718,12758400
2002-06-12,2.383333,2.391667,2.312500,2.350000,0.964018,14788800
2002-06-13,2.320833,2.348333,2.316667,2.345833,0.962309,8529600
2002-06-14,2.312500,2.362500,2.312500,2.350833,0.964360,4033200
2002-06-17,2.358333,2.380833,2.349167,2.375000,0.974274,4896000
2002-06-18,2.375000,2.383333,2.329167,2.342500,0.960942,7026000
2002-06-19,2.341667,2.353333,2.332500,2.339167,0.959574,3056400
2002-06-20,2.333333,2.333333,2.250000,2.272500,0.932226,5902800
2002-06-21,2.264167,2.267500,2.179167,2.195833,0.900775,8233200
2002-06-24,2.179167,2.179167,2.133333,2.140000,0.877872,7480800
2002-06-25,2.125000,2.183333,2.125000,2.165833,0.888469,8950800
2002-06-26,2.158333,2.164167,2.125000,2.144167,0.879581,5354400
2002-06-27,2.141667,2.316667,2.141667,2.295000,0.941456,6020400
2002-06-28,2.291667,2.341667,2.283333,2.305833,0.945900,2584800
2002-07-01,2.300000,2.300000,2.258333,2.263333,0.928466,2307600
2002-07-02,2.245833,2.260000,2.225000,2.251667,0.923680,4052400
2002-07-03,2.258333,2.305000,2.258333,2.295833,0.941798,3411600
2002-07-05,2.275000,2.287500,2.262500,2.279167,0.934961,476400
2002-07-08,2.258333,2.290000,2.250000,2.250000,0.922996,696000
2002-07-09,2.254167,2.295833,2.254167,2.275000,0.933252,2534400
2002-07-10,2.270833,2.270833,2.250000,2.251667,0.923680,460800
2002-07-11,2.235000,2.259167,2.229167,2.254167,0.924706,2998800
2002-07-12,2.250000,2.283333,2.233333,2.259167,0.926757,5691600
2002-07-15,2.259167,2.266667,2.237500,2.265833,0.929491,7260000
2002-07-16,2.258333,2.304167,2.258333,2.293333,0.940772,5815200
2002-07-17,2.293333,2.293333,2.250000,2.258333,0.926415,6288000
2002-07-18,2.254167,2.258333,2.250000,2.250000,0.922996,4052400
2002-07-19,2.233333,2.233333,2.208333,2.220833,0.911031,3966000
2002-07-22,2.237500,2.242500,2.187500,2.187500,0.897357,8041200
2002-07-23,2.183333,2.187500,2.151667,2.166667,0.888811,6543600
2002-07-24,2.112500,2.121667,2.099167,2.100000,0.861463,4614000
2002-07-25,2.108333,2.108333,2.058333,2.075000,0.851207,1369200
2002-07-26,2.075000,2.079167,2.004167,2.008333,0.823859,1795200
2002-07-29,2.008333,2.008333,1.875000,1.902500,0.780445,2527200
2002-07-30,1.904167,1.977500,1.845833,1.966667,0.806767,7682400
2002-07-31,1.967500,2.175000,1.967500,2.041667,0.837534,17091600
2002-08-01,2.058333,2.104167,2.025000,2.091667,0.858045,7167600
2002-08-02,2.125000,2.141667,2.114167,2.114167,0.867274,4081200
2002-08-05,2.116667,2.130000,2.000000,2.008333,0.823859,3572400
