;texto;classificacao
0;trafego esta lento no km 35 regiao de paranagua devido uma colisao entre dois caminhes;0
1;pessoal neste momento ha lentidao na rodovia ayrton senna sentido sao paulo do km 23 ao km 21 devido reflexo de acidente;0
2;atropelamento pela r rio verde 678  freguesia do o 03 vtrs  aguia 19 empenhadas 01 vtm grave   ;0
3;acidente entre carro e moto na estrada joao de oliveira remiao 2727   eptc no local samu e brigada mi  eptcpoa;0
4;do ponto de vista tecnico o arqueamento da suspensao dos caminhes so traz problemas e acentua o risco de acidentes sem oferecer nenhuma vantagem veja o que a engenharia da volvo fala sobre o assunto ;0
5;ciclista morre atropelada na br 101 sentidorecife ;0
6;hge atende 240 vitimas de acidente de transito durante o final de semana  alagoas maceio noticias ;0
7;acidente fatal registrado na manha deste domingo 8 na sc 350 altura da cidade de aurora ;0
8;as 21h05 recebemos um chamado p uma colisao entre automoto na rod raposo tavares km 12 sent   ;0
9;jovem morre em acidente na br 230  ;0
10; tempo segue bastante nublado em todo o corredor dom pedro  transito intenso do km 68 ao 65 da rodovia d pedro i em bom jesus dos perdes sentido jacarei devido a obras no pavimento  no restante do corredor dom pedro o trafego flui bem nao ha acidentes ;0
11;capotamento apos colisao entre veiculos deixa sete pessoas feridas na paraiba  ;0
12;balanco do dia 05122021   10 acidentes  16 veiculos envolvidos  9 feridos  1 morto  413 pessoas fiscalizadas  217 veiculos fiscalizados  11 veiculos recolhidos  125 autos de infracao  86 testes de alcoolemia 2 pessoas detidas;0
13;colisao na br 304 no rn mata duas pessoas e fere gravemente outra   riograndedonorte estradas;0
14;balanco do dia 15122021  007 acidentes  014 veiculos envolvidos  012 feridos 000 mortes  338 pessoas fiscalizadas  289 veiculos fiscalizados  017 veiculos recolhidos  215 autos de infracao  112 testes de alcoolemia  001 veiculo recuperado;0
15;6h06   sem acidentes ou retences nas principais rodovias federais que cortam a rmbh;0
16;acidente entre 2 carros na av cairu 125   eptc no local samu em deslocamento  eptcpoa;0
