r1.time,r1.pontos,r1.vitorias,r1.empates,r1.derrotas,r1.golsPro,r1.golsContra,r1.saldoGols,r1.posicaoAtual,r2.time,r2.pontos,r2.vitorias,r2.empates,r2.derrotas,r2.golsPro,r2.golsContra,r2.saldoGols,r2.posicaoAtual,r1.ultima
Flamengo,0,0,0,0,0,0,0,13,Atlético-MG,0,0,0,0,0,0,0,5,-1
Botafogo,0,0,0,0,0,0,0,19,Bahia,0,0,0,0,0,0,0,7,-1
Palmeiras,0,0,0,0,0,0,0,15,Vasco,0,0,0,0,0,0,0,2,0
Santos,0,0,0,0,0,0,0,17,Bragantino,0,0,0,0,0,0,0,4,0
Corinthians,0,0,0,0,0,0,0,16,Atlético-GO,0,0,0,0,0,0,0,10,0
Grêmio,0,0,0,0,0,0,0,14,Fluminense,0,0,0,0,0,0,0,1,1
Sport,0,0,0,0,0,0,0,18,Ceará,0,0,0,0,0,0,0,9,1
Coritiba,0,0,0,0,0,0,0,20,Inter-RS,0,0,0,0,0,0,0,6,-1
Fortaleza,0,0,0,0,0,0,0,11,Athletico-PR,0,0,0,0,0,0,0,8,-1
Goiás,0,0,0,0,0,0,0,12,São Paulo,0,0,0,0,0,0,0,3,-1
Fluminense,0,0,0,1,0,1,-1,16,Palmeiras,1,0,1,0,1,1,0,10,0
Vasco,1,0,1,0,1,1,0,8,Sport,3,1,0,0,3,2,1,3,1
São Paulo,3,1,0,0,3,0,3,1,Fortaleza,0,0,0,1,0,2,-2,19,1
Bragantino,1,0,1,0,1,1,0,9,Botafogo,0,0,0,1,1,2,-1,15,0
Atlético-MG,3,1,0,0,1,0,1,5,Corinthians,1,0,1,0,0,0,0,13,1
Inter-RS,3,1,0,0,1,0,1,6,Santos,1,0,1,0,1,1,0,11,1
Bahia,3,1,0,0,2,1,1,4,Coritiba,0,0,0,1,0,1,-1,18,1
Athletico-PR,3,1,0,0,2,0,2,2,Goiás,0,0,0,1,0,3,-3,20,1
Ceará,0,0,0,1,2,3,-1,14,Grêmio,3,1,0,0,1,0,1,7,0
Atlético-GO,1,0,1,0,0,0,0,12,Flamengo,0,0,0,1,0,1,-1,17,1
Fluminense,1,0,1,1,1,2,-1,15,Inter-RS,6,2,0,0,3,0,3,3,1
Vasco,4,1,1,0,3,1,2,7,São Paulo,6,2,0,0,4,0,4,1,1
Palmeiras,2,0,2,0,2,2,0,11,Goiás,0,0,0,2,1,5,-4,19,0
Santos,1,0,1,1,1,3,-2,16,Athletico-PR,6,2,0,0,4,1,3,2,1
Atlético-MG,6,2,0,0,4,2,2,4,Ceará,1,0,1,1,3,4,-1,12,1
Grêmio,4,1,1,0,2,1,1,8,Corinthians,1,0,1,1,2,3,-1,13,0
Bahia,6,2,0,0,3,1,2,5,Bragantino,2,0,2,0,2,2,0,10,1
Coritiba,0,0,0,2,0,2,-2,17,Flamengo,0,0,0,2,0,4,-4,20,-1
Fortaleza,0,0,0,2,0,3,-3,18,Botafogo,1,0,1,1,2,3,-1,14,0
Atlético-GO,4,1,1,0,3,0,3,6,Sport,3,1,0,1,3,4,-1,9,0
Flamengo,3,1,0,2,1,4,-3,12,Grêmio,5,1,2,0,2,1,1,8,0
Botafogo,2,0,2,1,2,3,-1,16,Atlético-MG,9,3,0,0,6,2,4,1,1
São Paulo,6,2,0,1,5,2,3,4,Bahia,9,3,0,0,5,2,3,2,0
Bragantino,2,0,2,1,3,4,-1,14,Fluminense,4,1,1,1,3,3,0,10,1
Corinthians,2,0,2,1,2,3,-1,15,Coritiba,0,0,0,3,0,3,-3,20,1
Inter-RS,6,2,0,1,4,2,2,5,Atlético-GO,5,1,2,0,4,1,3,7,1
Sport,4,1,1,1,4,5,-1,11,Santos,4,1,1,1,4,4,0,9,-1
Athletico-PR,6,2,0,1,5,4,1,6,Palmeiras,3,0,3,0,3,3,0,13,-1
Ceará,1,0,1,2,3,6,-3,17,Vasco,7,2,1,0,5,2,3,3,-1
Goiás,1,0,1,2,2,6,-4,19,Fortaleza,1,0,1,2,0,3,-3,18,-1
Flamengo,4,1,1,2,2,5,-3,17,Botafogo,5,1,2,1,4,4,0,13,0
Vasco,10,3,1,0,8,2,6,1,Grêmio,6,1,3,0,3,2,1,9,0
Palmeiras,6,1,3,0,4,3,1,8,Santos,7,2,1,1,5,4,1,6,1
Bragantino,5,1,2,1,5,5,0,11,Coritiba,0,0,0,4,1,6,-5,20,-1
Corinthians,5,1,2,1,5,4,1,10,Fortaleza,4,1,1,2,3,4,-1,15,0
Inter-RS,9,3,0,1,7,2,5,3,Atlético-MG,9,3,0,1,7,4,3,4,1
Sport,4,1,1,2,4,6,-2,16,São Paulo,7,2,1,1,6,3,3,5,-1
Athletico-PR,6,2,0,2,5,5,0,7,Fluminense,4,1,1,2,4,5,-1,14,-1
Ceará,1,0,1,3,3,9,-6,18,Bahia,10,3,1,0,6,3,3,2,1
Goiás,1,0,1,3,3,9,-6,19,Atlético-GO,5,1,2,1,4,4,0,12,1
Fluminense,7,2,1,2,5,5,0,8,Vasco,11,3,2,0,8,2,6,2,1
Botafogo,6,1,3,1,5,5,0,12,Inter-RS,12,4,0,1,8,2,6,1,-1
São Paulo,10,3,1,1,7,3,4,3,Corinthians,6,1,3,1,6,5,1,11,1
Santos,7,2,1,2,6,6,0,7,Flamengo,5,1,2,2,3,6,-3,16,-1
Atlético-MG,9,3,0,2,7,5,2,5,Athletico-PR,6,2,0,3,5,6,-1,10,-1
Grêmio,7,1,4,0,3,2,1,9,Goiás,4,1,1,3,5,9,-4,19,1
Bahia,10,3,1,1,6,5,1,4,Palmeiras,9,2,3,0,6,4,2,6,0
Coritiba,3,1,0,4,3,7,-4,20,Sport,4,1,1,3,4,7,-3,17,1
Fortaleza,5,1,2,2,4,5,-1,14,Bragantino,5,1,2,2,6,7,-1,13,1
Atlético-GO,5,1,2,2,4,6,-2,15,Ceará,4,1,1,3,5,9,-4,18,-1
Fluminense,10,3,1,2,7,6,1,5,Atlético-GO,5,1,2,3,4,8,-4,18,0
Botafogo,6,1,3,2,5,7,-2,16,Coritiba,6,2,0,4,4,7,-3,14,0
Palmeiras,10,2,4,0,7,5,2,6,Inter-RS,15,5,0,1,10,2,8,1,0
Santos,7,2,1,3,6,7,-1,12,Vasco,11,3,2,1,9,4,5,3,0
Atlético-MG,9,3,0,3,7,7,0,9,São Paulo,13,4,1,1,9,4,5,2,1
Grêmio,10,2,4,0,5,3,2,7,Sport,4,1,1,4,4,8,-4,19,-1
Bahia,11,3,2,1,7,6,1,4,Flamengo,8,2,2,2,4,6,-2,11,-1
Athletico-PR,9,3,0,3,7,6,1,8,Bragantino,5,1,2,3,6,10,-4,17,0
Ceará,7,2,1,3,7,9,-2,13,Fortaleza,8,2,2,2,7,5,2,10,1
Goiás,4,1,1,4,6,11,-5,20,Corinthians,6,1,3,2,7,7,0,15,-1
Flamengo,11,3,2,2,9,9,0,6,Fortaleza,8,2,2,3,7,6,1,13,1
Vasco,12,3,3,1,11,6,5,4,Athletico-PR,10,3,1,3,8,7,1,9,1
São Paulo,13,4,1,2,9,7,2,2,Fluminense,11,3,2,2,8,7,1,5,1
Bragantino,6,1,3,3,7,11,-4,18,Palmeiras,11,2,5,0,8,6,2,8,-1
Corinthians,9,2,3,2,9,8,1,12,Botafogo,7,1,4,2,5,7,-2,17,0
Inter-RS,16,5,1,1,11,3,8,1,Bahia,11,3,2,2,10,11,-1,7,0
Sport,7,2,1,4,6,9,-3,15,Goiás,4,1,1,5,7,13,-6,20,1
Coritiba,7,2,1,4,4,7,-3,16,Atlético-MG,12,4,0,3,10,7,3,3,-1
Ceará,10,3,1,3,8,9,-1,10,Santos,8,2,2,3,8,9,-1,14,-1
Atlético-GO,6,1,3,3,5,9,-4,19,Grêmio,10,2,4,1,6,5,1,11,0
Fluminense,11,3,2,3,9,10,-1,9,Flamengo,14,4,2,2,11,10,1,5,-1
Vasco,15,4,3,1,12,6,6,4,Atlético-GO,7,1,4,3,6,10,-4,18,-1
São Paulo,16,5,1,2,12,8,4,2,Bragantino,6,1,3,4,8,13,-5,19,0
Santos,11,3,2,3,9,9,0,8,Atlético-MG,15,5,0,3,11,7,4,3,1
Corinthians,10,2,4,2,11,10,1,14,Palmeiras,14,3,5,0,10,7,3,6,-1
Inter-RS,17,5,2,1,13,5,8,1,Ceará,10,3,1,4,8,10,-2,12,1
