;texto;classificacao
0;estudante cai de onibus escolar e atropelado pelo proprio veiculo e morre  alagoas maceio noticias ;0
1;bom dia transito esta livre em todo o corredor dom pedro nao ha acidentes e dia e mais uma vez bastante ensolarado ;0
2;colisao entre carro e moto na av francisco silveira bitencourt prox ao numeral 483   agentes da eptc  eptcpoa;0
3; importante destacar que continua proibido usar o celular enquanto se conduz algum veiculo mesmo que seja pra filmar um acidente o proposito da exibicao ja que o video circulava pelas redes e apenas alertar como acontecem a maioria dos acidentes;0
4;em triunfors no m 407 da br386 pista interrompida devido a um acidente com veiculo de cargacarga de trigo derramada na via;0
5;br 235 prf detem condutor embriagado envolvido em acidente  materia disponivel em  ;0
6;balanco do dia 16112021  010 acidentes  017 veiculos envolvidos  008 feridos  000 morto  268 pessoas fiscalizadas  235 veiculos fiscalizados  219 autos de infracao  017 veiculos recolhidos  001 veiculo recuperado 005 testes de alcoolemia  003 pessoas detidas;0
7;balanco do dia 21112021  005 acidentes  008 veiculos envolvidos  013 feridos  002 morto  417  pessoas fiscalizadas  354 veiculos fiscalizados 010 veiculos recolhidos  155  autos de infracao  026 testes de alcoolemia 001  pessoa detida;0
8;1442 atencao em caso de acidente ou emergencia ligue 0800 071 3233 telefone atendimento 24hs;0
9;galera a rodovia ayrton senna tem lentidao do km 22 ao km 20 no sentido de sao paulo devido acidente que bloqueia a faixa da direita demais trechos sob concessao  estao com trafego normal;0
10;balanco do dia 10042021 06   acidentes 10   veiculos envolvidos 09   feridos 01   morto 235 pessoas fiscalizadas 275 veiculos fiscalizados 10   testes de alcoolemia 102 autos de infracao;0
11;carro quase atropela homem na calcada apos batida em pitanga parecia que estava em camera lenta diz pedestre video  g1 g1pr ;0
12;caminhoneiro morre na br 267 em lima duarte mg   minasgerais caminhoneiro estradas acidentedetransito;0
13;colisao envolvendo 2 veiculos na av protasio alves prox ao cruz c a r ramiro barcelos n  eptcpoa;0
14;acidente na rsc 486 em itati rs deixa dois mortos  via ;0
15;colisao entre 2 veiculos na av saturnino de brito 20  agentes da eptc e da samu no local bm e  eptcpoa;0
16;balanco do dia 01072021 04   acidentes 07   veiculos envolvidos 05  feridos 00   morto 133 veiculos fiscalizados 143 pessoas fiscalizadas 146 autos de infracao 01 veiculo recuperado;0
17;4h55  nao ha ocorrencias de acidentes e interdices nas rodovias federais da regiao metropolitana de bh sob circunscricao da prf;0
18;transito flui bem em todo o corredor dom pedro dia e ensolarado na maior parte do trecho nao ha acidentes   confira os locais em obras  d pedro i igaratakm 32 sentido jacarei itatibakm 113 sentido campinas  eng constancio cintra jundiaikm 68 sentido anhanguera ;0
19;galera a rodovia ayrton senna tem lentidao do km 25 ao km 27 no sentido do interior devido acidente que bloqueia duas faixas em direcao a sao paulo o trafego esta normal;0
20;na br 232 km 1196 as 18h35 em caruaru uma motocicleta que trafegava no sentido capital interior caiu na rodovia e resultou na morte do motociclista homem idade nao conhecida;0
21;balanco do dia 06082021   07 acidentes  12 veiculos envolvidos  08 feridos  02 mortos  223 pessoas fiscalizadas  175 veiculos fiscalizados  25 testes de alcoolemia  159 notificaces de autuacao 23 veiculos recolhidos  01 pessoa detida  02 veiculos recuperados;0
22;balanco do dia 28072021   006 acidentes  009 veiculos envolvidos  010 feridos  000 mortos  246 veiculos fiscalizados  359 pessoas fiscalizadas  173 autos de infracao  004 pessoas detidas  004 veiculos recuperados;0
23;entroncamento da d pedro i com a anhanguera em campinas tem transito habitual de fim de tarde  no restante do corredor dom pedro motorista desenvolve ao velocidade  nao ha registro de acidentes e as obras que eram realizadas ja foram encerradas ;0
24;fim de tarde habitual com transito mais carregado no entroncamento da d pedro i com a anhanguera em campinas e tambem no trecho final da joao cereser em jundiai  obras que eram realizadas hoje ja foram encerradas nao ha acidentes e tampouco chove neste fim de tarde ;0
